Category,Nutrients_Comp,ProductName
Cereals and cereal products,"Energy-433Kcal,Water-2.9g,Protein-18.9g,Fat-10.9g,CHO-64.8g,Fibre-0.0g,Ash-2.5g,Ca-424.0mg,P-338.0mg,Fe-6.6mg,Na-101.0mg,K-347.0mg,Retinol-637.0ug,Carotenes-0.0ug,Re-637.0ug,B1-1.6mg,B2-1.4mg,Niacin-5.6mg,C-71.9mg",Milk cereal (wheat) for infants (Bijirin bersusu untuk bayi)
Cereals and cereal products,"Energy-319.8Kcal,Water-14g,Protein-9.1g,Fat-0.2g,CHO-70.4g,Fibre-0.0g,Ash-6.3g,Ca-47.0mg,P-85.0mg,Fe-1.6mg,Na-444.0mg,K-42.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.6mg,C-0.0mg","Noodle, rice (Mee-sua)"
Cereals and cereal products,"Energy-380Kcal,Water-4.8g,Protein-6.9g,Fat-0.8g,CHO-86.4g,Fibre-0.0g,Ash-1.1g,Ca-18.4mg,P-70.9mg,Fe-1.5mg,Na-281.9mg,K-85.1mg,Retinol-30.0ug,Carotenes-146.0ug,Re-54.0ug,B1-0.1mg,B2-0.2mg,Niacin-0.7mg,C-2.9mg","Pop corn, durian flavoured (""Pop corn"" berperisa durian)"
Cereals and cereal products,"Energy-368.8Kcal,Water-10g,Protein-11.8g,Fat-4.0g,CHO-71.4g,Fibre-1.5g,Ash-1.3g,Ca-48.0mg,P-282.0mg,Fe-4.2mg,Na-8.0mg,K-242.0mg,Retinol-0.0ug,Carotenes-32.0ug,Re-5.0ug,B1-0.5mg,B2-0.1mg,Niacin-0.8mg,C-0.0mg","Oats, processed, tinned (Oat dalam tin); Avena sativa"
Cereals and cereal products,"Energy-380Kcal,Water-5.5g,Protein-0.4g,Fat-1.0g,CHO-92.3g,Fibre-0.0g,Ash-0.8g,Ca-13.0mg,P-11.0mg,Fe-0.4mg,Na-117.0mg,K-29.0mg,Retinol-7.0ug,Carotenes-0.0ug,Re-7.0ug,B1-0.0mg,B2-0.2mg,Niacin-4.7mg,C-0.0mg",Custard powder (Tepung kastad)
Cereals and cereal products,"Energy-346.6Kcal,Water-13.4g,Protein-8g,Fat-0.2g,CHO-78.2g,Fibre-0.0g,Ash-0.2g,Ca-9.0mg,P-35.0mg,Fe-2.4mg,Na-1.0mg,K-10.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.7mg,C-0.0mg","Noodle Laksa, thick, dry (Mee laksa, kering)"
Cereals and cereal products,"Energy-526Kcal,Water-3.9g,Protein-5.2g,Fat-28.8g,CHO-61.5g,Fibre-0.0g,Ash-0.6g,Ca-29.2mg,P-70.5mg,Fe-1.4mg,Na-17.7mg,K-83.1mg,Retinol-54.0ug,Carotenes-32.0ug,Re-59.0ug,B1-0.0mg,B2-0.1mg,Niacin-1.4mg,C-3.5mg","Corn stick, chocolate flavoured (Snek jagung berperisa coklat)"
Cereals and cereal products,"Energy-355.4Kcal,Water-13.5g,Protein-9.2g,Fat-4.6g,CHO-69.3g,Fibre-2.0g,Ash-1.4g,Ca-45.0mg,P-224.0mg,Fe-2.9mg,Na-11.0mg,K-76.0mg,Retinol-0.0ug,Carotenes-256.0ug,Re-42.7ug,B1-0.2mg,B2-0.1mg,Niacin-1.7mg,C-8.8mg",Maize (Jagung) Zea Mays
Cereals and cereal products,"Energy-423.8Kcal,Water-9.6g,Protein-9.8g,Fat-14.2g,CHO-64.2g,Fibre-0.0g,Ash-2.2g,Ca-38.0mg,P-105.0mg,Fe-1.4mg,Na-103.0mg,K-46.0mg,Retinol-69.0ug,Carotenes-0.0ug,Re-69.0ug,B1-0.3mg,B2-0.1mg,Niacin-0.8mg,C-2.2mg","Noodle, dry, instant (Mee kering, segera)"
Cereals and cereal products,"Energy-125.9Kcal,Water-68.8g,Protein-0.6g,Fat-0.3g,CHO-30.2g,Fibre-0.0g,Ash-0.1g,Ca-4.0mg,P-7.0mg,Fe-0.4mg,Na-5.0mg,K-4.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.2mg,C-0.0mg","Noodle, rice (Lo-see-fun)"
Cereals and cereal products,"Energy-456Kcal,Water-3.5g,Protein-11g,Fat-15.6g,CHO-67.9g,Fibre-0.0g,Ash-2.0g,Ca-20.3mg,P-134.8mg,Fe-1.1mg,Na-612.6mg,K-88.3mg,Retinol-66.0ug,Carotenes-4.0ug,Re-67.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.8mg,C-16.8mg","Noodle snack, chicken flavoured (Snek mee berperisa ayam)"
Cereals and cereal products,"Energy-376Kcal,Water-12.6g,Protein-12.8g,Fat-15.7g,CHO-45.8g,Fibre-5.8g,Ash-7.3g,Ca-51.0mg,P-1,691.0mg,Fe-4.9mg,Na-23.0mg,K-1,111.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-2.9mg,B2-0.2mg,Niacin-31.6mg,C-0.0mg","Rice bran, fine (Dedak halus)"
Cereals and cereal products,"Energy-357Kcal,Water-11.8g,Protein-6.9g,Fat-1.0g,CHO-80.1g,Fibre-0.0g,Ash-0.2g,Ca-17.0mg,P-59.0mg,Fe-1.1mg,Na-16.0mg,K-32.0mg,Retinol-22.0ug,Carotenes-0.0ug,Re-22.0ug,B1-0.0mg,B2-0.1mg,Niacin-2.5mg,C-0.0mg","Rice flour, glutinous (Tepung pulut)"
Cereals and cereal products,"Energy-353.5Kcal,Water-13.1g,Protein-7.7g,Fat-2.3g,CHO-75.5g,Fibre-0.9g,Ash-0.5g,Ca-13.0mg,P-84.0mg,Fe-1.9mg,Na-6.0mg,K-35.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.2mg,B2-0.0mg,Niacin-0.5mg,C-0.0mg","Rice, glutinous, white (Pulut putih); Oryza glutinosa"
Cereals and cereal products,"Energy-354.8Kcal,Water-11.8g,Protein-6.9g,Fat-1.2g,CHO-79.1g,Fibre-0.5g,Ash-0.5g,Ca-9.0mg,P-150.0mg,Fe-1.6mg,Na-9.0mg,K-45.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.2mg,B2-0.1mg,Niacin-3.3mg,C-0.0mg","Rice, parboiled (Beras, ""parboiled"")"
"Starchy roots, tubers and products","Energy-350.9Kcal,Water-12.2g,Protein-1g,Fat-0.1g,CHO-86.5g,Fibre-0.0g,Ash-0.2g,Ca-24.0mg,P-37.0mg,Fe-1.2mg,Na-1.0mg,K-7.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.4mg,C-0.0mg",Tapioca flour (Tepung ubi kayu)
Cereals and cereal products,"Energy-345.2Kcal,Water-12.5g,Protein-13.1g,Fat-1.6g,CHO-69.6g,Fibre-2.0g,Ash-1.2g,Ca-92.0mg,P-245.0mg,Fe-2.1mg,Na-6.0mg,K-45.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.2mg,B2-0.1mg,Niacin-1.9mg,C-0.0mg",Wheat flour (Tepung gandum)
Cereals and cereal products,"Energy-347.9Kcal,Water-6.6g,Protein-9.9g,Fat-0.3g,CHO-76.4g,Fibre-0.3g,Ash-6.5g,Ca-21.0mg,P-127.0mg,Fe-0.9mg,Na-467.0mg,K-30.0mg,Retinol-31.0ug,Carotenes-17.0ug,Re-33.8ug,B1-0.0mg,B2-0.2mg,Niacin-1.0mg,C-1.3mg","Rice porridge, fish, instant (Bubur ikan, segera)"
"Starchy roots, tubers and products","Energy-123.8Kcal,Water-68.4g,Protein-1.5g,Fat-0.2g,CHO-29.0g,Fibre-0.2g,Ash-0.7g,Ca-20.0mg,P-32.0mg,Fe-1.4mg,Na-11.0mg,K-252.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.1mg,B2-0.1mg,Niacin-1.3mg,C-6.0mg",Taro (Ubi keladi Cina) ; Colocasia esculentum
Cereals and cereal products,"Energy-130.1Kcal,Water-67.4g,Protein-2.3g,Fat-0.1g,CHO-30.0g,Fibre-0.0g,Ash-0.2g,Ca-3.0mg,P-26.0mg,Fe-0.2mg,Na-6.0mg,K-6.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.0mg,C-0.0mg","Rice, cooked (Nasi)"
"Starchy roots, tubers and products","Energy-359.1Kcal,Water-7g,Protein-5.1g,Fat-0.3g,CHO-84.0g,Fibre-2.2g,Ash-1.4g,Ca-48.0mg,P-103.0mg,Fe-1.4mg,Na-26.0mg,K-426.0mg,Retinol-0.0ug,Carotenes-260.0ug,Re-43.3ug,B1-0.2mg,B2-0.1mg,Niacin-1.9mg,C-12.0mg","Sweet potato, dried (Ubi keledek, kering)"
"Starchy roots, tubers and products","Energy-86Kcal,Water-76.3g,Protein-1.7g,Fat-0.0g,CHO-19.8g,Fibre-0.8g,Ash-1.4g,Ca-20.0mg,P-74.0mg,Fe-1.4mg,Na-33.0mg,K-203.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.7mg,C-18.1mg",Potato (Ubi kentang) ; Solanum tuberosum
"Starchy roots, tubers and products","Energy-351.7Kcal,Water-12g,Protein-0.2g,Fat-0.1g,CHO-87.5g,Fibre-0.1g,Ash-0.1g,Ca-11.0mg,P-12.0mg,Fe-1.4mg,Na-12.0mg,K-8.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.1mg,C-0.0mg","Sago, pearl (Sagu, biji-bijian) ; Metroxylon spp."
Cereals and cereal products,"Energy-347.7Kcal,Water-12g,Protein-12.4g,Fat-2.1g,CHO-69.8g,Fibre-1.8g,Ash-1.9g,Ca-38.0mg,P-385.0mg,Fe-3.8mg,Na-9.0mg,K-75.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.5mg,B2-0.1mg,Niacin-4.6mg,C-0.0mg","Wheat, whole grain (Gandum, biji) ; Triticum vulgare"
"Starchy roots, tubers and products","Energy-89.7Kcal,Water-76g,Protein-1.3g,Fat-0.5g,CHO-20.0g,Fibre-1.3g,Ash-0.9g,Ca-10.0mg,P-3.0mg,Fe-0.6mg,Na-19.0mg,K-325.0mg,Retinol-0.0ug,Carotenes-22.0ug,Re-3.7ug,B1-0.1mg,B2-0.1mg,Niacin-2.9mg,C-21.3mg",Breadfruit (Sukun) ; Artocarpus communis
